id,title,artist
1,6 30,Métricas Frías
2,Aurolito Corbalán,Cuarteto de Nos
3,Autos Nuevos,Riki Musso
4,Beef Rapp,MF DOOM
5,Believe In Myself ver.1,Sonic The Hedgehog: Passion & Pride
6,Lovely Day,Bill Withers
7,All The Small Things,blink-182
8,Three Little Birds,Bob Marley
9,Chico Correcto,Cuarteto de Nos
10,Daleko si rodjeni brate,Roki Vulović
11,Deep Fried Frenz,MF DOOM
12,9 To 5,Dolly Parton
13,El Fin del Mundo,Cuarteto de Nos
14,El Pelo Jamón,Cuarteto de Nos
15,Jingle Jange Jingle,Fallout New Vegas: Mojave Music Radio
16,Fig Leaf Bi-Carbonate,MF DOOM
17,Fillet-O-Rapper,MF DOOM
18,Y Volar Y Volar,Frutos del País
19,Good Morning,Kanye West
20,Gumbo,MF DOOM
21,Here Comes The Sun,The Beatles
22,Hoe Cakes,MF DOOM
23,Hoy Estoy Raro,Cuarteto de Nos
24,(I Got Spurs That) Jingle, Jangle, Jingle,Kay Kyser
25,Juan Bojorge Ocorbojon,Cuarteto de Nos
26,Walking On Sunshine,Katrina & The Waves
27,Kon Queso,MF DOOM
28,La Bufarracha,Riki Musso
29,La Paranoica,Cuarteto de Nos
30,LEASE,Takeshi Abo
31,Let's Go Sunning,Jack Shaindlin
32,Lovely Gate 3... for Egg Quarters,Sonic Adventure 2: Original Soundtrack
33,Manhattan,Gerhard Trede
34,Mister Sandman,The Chordettes
35,Mr. Blue Sky,Electric Light Orchestra
36,My Sweet Passion,Sonic The Hedgehog: Passion & Pride
37,Nadie Me Quiere,Cuarteto de Nos
38,On the Sunny Side of the Street (Live),Louis Armstrong
39,Poo-Putt Platter,MF DOOM
40,Resort Island (Can You Feel The Sunshine?),Sonic R OST
41,Nuestro Aporte,Riki Musso
42,This Is How It Sounds,Skee-Lo
43,All Star,Smash Mouth
44,Wake Up Boo!,The Boo Radleys
45,Peaches,The Presidents of the United States of America
46,Buggin',Topaz Jones
47,Rich,Topaz Jones
48,Vampira,Cuarteto de Nos
49,Island In The Sun,Weezer
50,You Make My Dreams (Come True),Daryl Hall & John Oates
