id,title,artist
1,At Dawn (Speed Highway),Sonic Adventure [OST]
2,Autos Nuevos,Riki Musso
3,Ave de Paso,Sandro
4,El Pescado (Live at Real World Studios),Totó la Momposina
5,Entrevista a Alías 'Toreto' tras robar una Volqueta,City TV
6,Fillet-O-Rapper,MF DOOM
7,Himno Nacional de Colombia,Cierre de Emision STEREO (1987)
8,Hishi no Hashi,Nippon Animation
9,Mi Vieja Barranquilla,Nelson Henriquez
10,Piel Canela,Bobby Capó
11,Si Pasas Por San Gil,Silva y Villalba
12,Tres golpes,Totó la Momposina
13,Wake Up Boo!,The Boo Radleys
14,Y volar y volar,Frutos del país
